SEQ_LEN,FUTURE_PERIOD_PREDICT,BATCH_SIZE,NUM_EPOCHS,ENCODING_LENGTH,TOKENIZING_LENGTH,hidden_size,num_layers,expansion_factor,embedding_dropout_prob,lstm_dropout_prob,dropout_prob,l2_lambda,acc,params
120,30,512,10,100,10,100,1,2,0.0,0,0.3,1e-05,53.45072215956634,86201
120,30,512,20,100,10,100,1,2,0.0,0,0.3,1e-05,53.799978171499255,86201
120,30,512,20,100,10,100,1,2,0.0,0,0.3,1e-05,53.70902608505839,86201
120,30,512,20,100,10,100,1,2,0.0,0,0.3,1e-05,53.348855822752576,86201
120,30,512,20,100,10,100,1,2,0.0,0,0.3,2e-05,53.20151344271837,86201
120,30,512,20,100,10,100,1,2,0.0,0,0.3,1e-05,53.04871393749772,86201
120,30,512,20,100,10,100,1,2,0.0,0,0.3,1e-05,53.55258849638011,86201
200,30,512,20,100,10,100,1,2,0.0,0,0.3,1e-05,52.58944527517415,86201
200,30,512,20,100,10,100,1,2,0.0,0,0.3,1e-05,53.29333673729895,86201
300,30,512,20,100,10,100,1,2,0.0,0,0.3,0.0,52.67253662635636,86201
120,30,512,10,100,10,100,1,2,0.0,0,0.3,1e-06,53.50893149488849,86201
120,30,256,10,100,10,100,1,2,0.0,0,0.3,1e-06,54.1947102266526,86201
120,30,128,10,100,10,100,1,2,0.0,0,0.3,1e-06,53.55258849638011,86201
120,30,128,10,100,10,100,1,2,0.0,0,0.3,1e-06,53.18878015061666,86201
120,30,128,10,100,10,100,1,2,0.0,0,0.3,1e-06,53.134208898752135,86201
120,30,128,10,100,10,100,1,2,0.0,0,0.3,1e-06,53.42343653363408,86201
120,30,512,10,100,10,100,1,2,0.0,0,0.3,1e-06,52.87590497326008,86201
120,30,64,10,100,10,100,1,2,0.0,0,0.3,1e-06,52.2028595335977,86201
120,30,64,10,100,10,100,1,2,0.0,0,0.3,1e-06,52.52119183614072,86201
120,30,64,50,100,10,100,1,2,0.0,0,0.3,1e-06,53.84545421471969,86201
200,30,64,100,100,10,120,1,2,0.0,0,0.3,1e-06,53.78387249717349,122441
120,30,512,10,100,10,100,1,2,0.0,0,0.3,1e-06,53.35977007312548,86801
120,30,512,500,100,10,100,1,2,0.0,0,0.3,4e-05,54.158329392076254,86201
120,30,512,200,100,10,80,1,2,0.0,0,0.3,0.0,53.408884199803545,56361
120,30,512,200,100,10,80,1,2,0.0,0,0.3,1e-06,53.45436024302398,56361
120,30,512,30,100,10,100,1,4,0.0,0,0.3,4e-05,54.27110997926293,212201
150,30,512,300,100,10,100,1,4,0.0,0,0.3,4e-05,54.43206234749991,212201
150,30,512,50,100,10,100,1,4,0.02,0,0.15,4e-05,54.31370406788302,212201
150,60,512,50,100,10,200,1,4,0.02,0,0.15,4e-06,54.11369282478445,822401
150,20,512,10,100,10,100,1,4,0.02,0,0.15,4e-06,53.47613129614738,212201
150,30,512,10,100,10,100,1,4,0.02,0,0.15,4e-06,53.63268873593358,212201
150,30,512,10,100,10,100,1,4,0.02,0,0.15,4e-06,53.53436031902108,213201
